2   3
1   3
1   2
5   6
4   6
4   5
8   9
7   9
7   8
11   12
10   12
10   11
14   15
13   15
13   14
17   18
16   18
16   17
20   21
19   21
19   20
23   24
22   24
22   23
26   27
25   27
25   26
29   30
28   30
28   29
32   33
31   33
31   32
35   36
34   36
34   35
38   39
37   39
37   38
41   42
40   42
40   41
44   45
43   45
43   44
47   48
46   48
46   47
50   51
49   51
49   50
53   54
52   54
52   53
56   57
55   57
55   56
59   60
58   60
58   59
62   63
61   63
61   62
65   66
64   66
64   65
68   69
67   69
67   68
71   72
70   72
70   71
74   75
73   75
73   74
77   78
76   78
76   77
80   81
79   81
79   80
